User_ID,Home_Hub,Work_Hub,Mode,Monthly_Income,Is_Rainy_Day,Daily_Commute_Cost,Daily_Time_Mins,Sleep_Debt_Hours,Monthly_Cash_Spend,Hourly_Rate,Monthly_Hours_Lost,Opportunity_Cost,Sleep_Debt_Cost,Total_Commute_Tax,Tax_Percentage_of_Income
LOS-0043,Egbeda,Victoria Island,Danfo,98727,1,4800.0,330,3.0,84480.0,617.04375,121.0,29864.92,10181.221875000001,124526.14,126.13
LOS-0044,Surulere,Ikeja,BRT,279958,0,1140.0,120,1.5,25080.0,1749.7375,44.0,30795.38,14435.334375,70310.71,25.11
LOS-0045,Surulere,Victoria Island,Private Car,823525,1,10400.0,210,1.5,184000.0,5147.03125,77.0,158528.56,42463.0078125,384991.57,46.75
LOS-0046,Ikorodu,Ikeja,BRT,784830,0,1500.0,240,3.0,33000.0,4905.1875,88.0,172662.6,80935.59375,286598.19,36.52
LOS-0047,Ikorodu,Victoria Island,BRT,183297,0,2200.0,240,3.0,48400.0,1145.60625,88.0,40325.34,18902.503125,107627.84,58.72
LOS-0048,Surulere,Ikeja,Private Car,807603,0,4800.0,120,1.5,110400.0,5047.51875,44.0,88836.33,41642.0296875,240878.36,29.83
LOS-0049,Egbeda,Ikeja,Danfo,155944,0,1600.0,240,3.0,42240.0,974.65,88.0,34307.68,16081.725,92629.4,59.4
LOS-0050,Egbeda,Victoria Island,Danfo,297519,0,3200.0,240,3.0,84480.0,1859.49375,88.0,65454.18,30681.646875000002,180615.83,60.71
LOS-0051,Ikorodu,Ikeja,BRT,802856,0,1500.0,240,3.0,33000.0,5017.85,88.0,176628.32,82794.52500000001,292422.85,36.42
LOS-0052,Ikorodu,Ikeja,Danfo,260692,0,2400.0,240,3.0,63360.0,1629.325,88.0,57352.24,26883.8625,147596.1,56.62
LOS-0053,Surulere,Ikeja,Danfo,522512,0,1800.0,120,1.5,47520.0,3265.7,44.0,57476.32,26942.024999999998,131938.34,25.25
LOS-0054,Egbeda,Ikeja,Private Car,406471,0,6000.0,240,3.0,138000.0,2540.44375,88.0,89423.62,41917.321875,269340.94,66.26
LOS-0055,Egbeda,Victoria Island,Private Car,370119,0,14000.0,240,3.0,322000.0,2313.24375,88.0,81426.18,38168.521875,441594.7,119.31
LOS-0056,Surulere,Victoria Island,BRT,97318,0,1140.0,120,1.5,25080.0,608.2375,44.0,10704.98,5017.959374999999,40802.94,41.93
LOS-0057,Ikorodu,Victoria Island,Danfo,353817,0,3600.0,240,3.0,95040.0,2211.35625,88.0,77839.74,36487.378124999996,209367.12,59.17
LOS-0058,Ikorodu,Victoria Island,Danfo,256852,0,3600.0,240,3.0,95040.0,1605.325,88.0,56507.44,26487.8625,178035.3,69.31
LOS-0059,Ikorodu,Ikeja,Private Car,637520,0,9600.0,240,3.0,220800.0,3984.5,88.0,140254.4,65744.25,426798.65,66.95
LOS-0060,Ikorodu,Ikeja,Danfo,98782,1,3600.0,330,3.0,63360.0,617.3875,121.0,29881.56,10186.893750000001,103428.45,104.7
LOS-0061,Ikorodu,Ikeja,Private Car,575013,0,9600.0,240,3.0,220800.0,3593.83125,88.0,126502.86,59298.215625000004,406601.08,70.71
LOS-0062,Ikorodu,Victoria Island,BRT,820439,0,2200.0,240,3.0,48400.0,5127.74375,88.0,180496.58,84607.77187499999,313504.35,38.21
LOS-0063,Surulere,Ikeja,BRT,369716,1,1140.0,210,1.5,25080.0,2310.725,77.0,71170.33,19063.48125,115313.81,31.19
LOS-0064,Egbeda,Victoria Island,Private Car,576552,0,14000.0,240,3.0,322000.0,3603.45,88.0,126841.44,59456.924999999996,508298.36,88.16
LOS-0065,Egbeda,Victoria Island,Private Car,613559,1,18200.0,330,3.0,322000.0,3834.74375,121.0,185601.6,63273.271875,570874.87,93.04
LOS-0066,Ikorodu,Victoria Island,Danfo,86571,1,5400.0,330,3.0,95040.0,541.06875,121.0,26187.73,8927.634375,130155.36,150.35
LOS-0067,Egbeda,Victoria Island,BRT,281589,0,1960.0,240,3.0,43120.0,1759.93125,88.0,61949.58,29038.865625000002,134108.45,47.63
LOS-0068,Egbeda,Victoria Island,Danfo,700469,0,3200.0,240,3.0,84480.0,4377.93125,88.0,154103.18,72235.86562499999,310819.05,44.37
LOS-0069,Egbeda,Ikeja,Private Car,484062,0,6000.0,240,3.0,138000.0,3025.3875,88.0,106493.64,49918.893749999996,294412.53,60.82
LOS-0070,Egbeda,Victoria Island,Danfo,99237,0,3200.0,240,3.0,84480.0,620.23125,88.0,21832.14,10233.815625000001,116545.96,117.44
LOS-0071,Egbeda,Ikeja,Private Car,506392,0,6000.0,240,3.0,138000.0,3164.95,88.0,111406.24,52221.674999999996,301627.91,59.56
LOS-0072,Egbeda,Victoria Island,BRT,756487,0,1960.0,240,3.0,43120.0,4728.04375,88.0,166427.14,78012.721875,287559.86,38.01
LOS-0073,Egbeda,Ikeja,Private Car,826984,0,6000.0,240,3.0,138000.0,5168.65,88.0,181936.48,85282.72499999999,405219.2,49.0
LOS-0074,Ikorodu,Ikeja,Danfo,168069,1,3600.0,330,3.0,63360.0,1050.43125,121.0,50840.87,17332.115625000002,131532.99,78.26
LOS-0075,Egbeda,Victoria Island,Danfo,297948,0,3200.0,240,3.0,84480.0,1862.175,88.0,65548.56,30725.8875,180754.45,60.67
LOS-0076,Surulere,Victoria Island,BRT,698245,1,1140.0,210,1.5,25080.0,4364.03125,77.0,134412.16,36003.2578125,195495.42,28.0
LOS-0077,Egbeda,Ikeja,Private Car,795252,0,6000.0,240,3.0,138000.0,4970.325,88.0,174955.44,82010.3625,394965.8,49.67
LOS-0078,Surulere,Victoria Island,Danfo,218970,0,1800.0,120,1.5,47520.0,1368.5625,44.0,24086.7,11290.640625,82897.34,37.86
LOS-0079,Egbeda,Victoria Island,BRT,350816,1,1960.0,330,3.0,43120.0,2192.6,121.0,106121.84,36177.9,185419.74,52.85
LOS-0080,Egbeda,Victoria Island,Danfo,79563,1,4800.0,330,3.0,84480.0,497.26875,121.0,24067.81,8204.934375,116752.74,146.74
LOS-0081,Ikorodu,Ikeja,Danfo,236318,1,3600.0,330,3.0,63360.0,1476.9875,121.0,71486.19,24370.29375,159216.49,67.37
LOS-0082,Ikorodu,Ikeja,Danfo,90373,0,2400.0,240,3.0,63360.0,564.83125,88.0,19882.06,9319.715624999999,92561.78,102.42
LOS-0083,Egbeda,Ikeja,Danfo,99459,0,1600.0,240,3.0,42240.0,621.61875,88.0,21880.98,10256.709375,74377.69,74.78
LOS-0084,Ikorodu,Ikeja,Private Car,771913,0,9600.0,240,3.0,220800.0,4824.45625,88.0,169820.86,79603.528125,470224.39,60.92
LOS-0085,Surulere,Ikeja,Private Car,793481,0,4800.0,120,1.5,110400.0,4959.25625,44.0,87282.91,40913.864062500004,238596.77,30.07
LOS-0086,Egbeda,Victoria Island,BRT,83229,0,1960.0,240,3.0,43120.0,520.18125,88.0,18310.38,8582.990625,70013.37,84.12
LOS-0087,Ikorodu,Ikeja,BRT,285120,0,1500.0,240,3.0,33000.0,1782.0,88.0,62726.4,29403.0,125129.4,43.89
LOS-0088,Egbeda,Ikeja,Private Car,711804,0,6000.0,240,3.0,138000.0,4448.775,88.0,156596.88,73404.78749999999,368001.67,51.7
LOS-0089,Egbeda,Ikeja,Private Car,472051,0,6000.0,240,3.0,138000.0,2950.31875,88.0,103851.22,48680.259375,290531.48,61.55
LOS-0090,Egbeda,Victoria Island,Danfo,90365,0,3200.0,240,3.0,84480.0,564.78125,88.0,19880.3,9318.890625,113679.19,125.8
LOS-0091,Egbeda,Ikeja,Danfo,172430,0,1600.0,240,3.0,42240.0,1077.6875,88.0,37934.6,17781.84375,97956.44,56.81
LOS-0092,Ikorodu,Ikeja,Danfo,80141,0,2400.0,240,3.0,63360.0,500.88125,88.0,17631.02,8264.540625,89255.56,111.37
LOS-0093,Ikorodu,Victoria Island,Private Car,397205,0,15600.0,240,3.0,358800.0,2482.53125,88.0,87385.1,40961.765625,487146.87,122.64
LOS-0094,Egbeda,Victoria Island,Danfo,89730,0,3200.0,240,3.0,84480.0,560.8125,88.0,19740.6,9253.40625,113474.01,126.46
LOS-0095,Egbeda,Ikeja,BRT,292060,0,900.0,240,3.0,19800.0,1825.375,88.0,64253.2,30118.6875,114171.89,39.09
LOS-0096,Ikorodu,Victoria Island,Private Car,537430,0,15600.0,240,3.0,358800.0,3358.9375,88.0,118234.6,55422.46875,532457.07,99.07
LOS-0097,Surulere,Ikeja,Private Car,803870,0,4800.0,120,1.5,110400.0,5024.1875,44.0,88425.7,41449.546875,240275.25,29.89
LOS-0098,Surulere,Victoria Island,Private Car,453356,0,8000.0,120,1.5,184000.0,2833.475,44.0,49869.16,23376.16875,257245.33,56.74
LOS-0099,Surulere,Victoria Island,Private Car,409481,0,8000.0,120,1.5,184000.0,2559.25625,44.0,45042.91,21113.8640625,250156.77,61.09
LOS-0100,Surulere,Victoria Island,Danfo,70559,0,1800.0,120,1.5,47520.0,440.99375,44.0,7761.49,3638.1984374999997,58919.69,83.5
LOS-0101,Surulere,Ikeja,Danfo,75474,0,1800.0,120,1.5,47520.0,471.7125,44.0,8302.14,3891.6281249999997,59713.77,79.12
LOS-0102,Egbeda,Ikeja,Danfo,210429,0,1600.0,240,3.0,42240.0,1315.18125,88.0,46294.38,21700.490625000002,110234.87,52.39
LOS-0103,Egbeda,Ikeja,Danfo,93710,1,2400.0,330,3.0,42240.0,585.6875,121.0,28347.28,9663.84375,80251.12,85.64
LOS-0104,Surulere,Ikeja,Private Car,607590,1,6240.0,210,1.5,110400.0,3797.4375,77.0,116961.08,31328.859375,258689.93,42.58
LOS-0105,Ikorodu,Victoria Island,BRT,212879,1,2200.0,330,3.0,48400.0,1330.49375,121.0,64395.9,21953.146875000002,134749.04,63.3
LOS-0106,Egbeda,Victoria Island,Private Car,402150,0,14000.0,240,3.0,322000.0,2513.4375,88.0,88473.0,41471.71875,451944.72,112.38
LOS-0107,Ikorodu,Ikeja,Private Car,295492,0,9600.0,240,3.0,220800.0,1846.825,88.0,65008.24,30472.6125,316280.85,107.04
LOS-0108,Surulere,Ikeja,Private Car,493685,1,6240.0,210,1.5,110400.0,3085.53125,77.0,95034.36,25455.6328125,230890.0,46.77
LOS-0109,Surulere,Ikeja,Private Car,459247,0,4800.0,120,1.5,110400.0,2870.29375,44.0,50517.17,23679.923437499998,184597.09,40.2
LOS-0110,Ikorodu,Victoria Island,Private Car,689612,1,20280.0,330,3.0,358800.0,4310.075,121.0,208607.63,71116.2375,638523.87,92.59
LOS-0111,Ikorodu,Ikeja,Private Car,502651,0,9600.0,240,3.0,220800.0,3141.56875,88.0,110583.22,51835.884375,383219.1,76.24
LOS-0112,Ikorodu,Victoria Island,BRT,798874,0,2200.0,240,3.0,48400.0,4992.9625,88.0,175752.28,82383.88124999999,306536.16,38.37
LOS-0113,Ikorodu,Ikeja,Private Car,846023,1,12480.0,330,3.0,220800.0,5287.64375,121.0,255921.96,87246.121875,563968.08,66.66
LOS-0114,Ikorodu,Ikeja,Private Car,657711,1,12480.0,330,3.0,220800.0,4110.69375,121.0,198957.58,67826.44687500001,487584.02,74.13
LOS-0115,Egbeda,Victoria Island,Private Car,614595,0,14000.0,240,3.0,322000.0,3841.21875,88.0,135210.9,63380.109375,520591.01,84.7
LOS-0116,Surulere,Ikeja,Private Car,523837,0,4800.0,120,1.5,110400.0,3273.98125,44.0,57622.07,27010.345312499998,195032.42,37.23
LOS-0117,Surulere,Ikeja,Danfo,594701,1,2700.0,210,1.5,47520.0,3716.88125,77.0,114479.94,30664.2703125,192664.21,32.4
LOS-0118,Surulere,Victoria Island,Private Car,698150,1,10400.0,210,1.5,184000.0,4363.4375,77.0,134393.88,35998.359375,354392.23,50.76
LOS-0119,Egbeda,Victoria Island,Private Car,604070,1,18200.0,330,3.0,322000.0,3775.4375,121.0,182731.18,62294.71875,567025.89,93.87
LOS-0120,Egbeda,Victoria Island,Danfo,164838,0,3200.0,240,3.0,84480.0,1030.2375,88.0,36264.36,16998.91875,137743.28,83.56
LOS-0121,Ikorodu,Victoria Island,Private Car,473886,0,15600.0,240,3.0,358800.0,2961.7875,88.0,104254.92,48869.49375,511924.41,108.03
LOS-0122,Ikorodu,Ikeja,Private Car,685646,0,9600.0,240,3.0,220800.0,4285.2875,88.0,150842.12,70707.24375000001,442349.36,64.52
LOS-0123,Ikorodu,Ikeja,BRT,690472,0,1500.0,240,3.0,33000.0,4315.45,88.0,151903.84,71204.925,256108.76,37.09
LOS-0124,Egbeda,Victoria Island,Private Car,779665,0,14000.0,240,3.0,322000.0,4872.90625,88.0,171526.3,80402.953125,573929.25,73.61
LOS-0125,Surulere,Ikeja,BRT,426325,0,1140.0,120,1.5,25080.0,2664.53125,44.0,46895.75,21982.3828125,93958.13,22.04
LOS-0126,Surulere,Victoria Island,Private Car,698266,0,8000.0,120,1.5,184000.0,4364.1625,44.0,76809.26,36004.340625000004,296813.6,42.51
LOS-0127,Egbeda,Victoria Island,Private Car,366595,0,14000.0,240,3.0,322000.0,2291.21875,88.0,80650.9,37805.109375,440456.01,120.15
LOS-0128,Egbeda,Ikeja,Private Car,426432,0,6000.0,240,3.0,138000.0,2665.2,88.0,93815.04,43975.799999999996,275790.84,64.67
LOS-0129,Egbeda,Ikeja,Danfo,837231,0,1600.0,240,3.0,42240.0,5232.69375,88.0,184190.82,86339.44687500001,312770.27,37.36
LOS-0130,Ikorodu,Ikeja,Private Car,550776,0,9600.0,240,3.0,220800.0,3442.35,88.0,121170.72,56798.775,398769.5,72.4
LOS-0131,Egbeda,Victoria Island,Private Car,611196,0,14000.0,240,3.0,322000.0,3819.975,88.0,134463.12,63029.5875,519492.71,85.0
LOS-0132,Surulere,Ikeja,Danfo,85900,0,1800.0,120,1.5,47520.0,536.875,44.0,9449.0,4429.21875,61398.22,71.48
LOS-0133,Egbeda,Victoria Island,Private Car,752069,0,14000.0,240,3.0,322000.0,4700.43125,88.0,165455.18,77557.11562499999,565012.3,75.13
LOS-0134,Ikorodu,Victoria Island,Danfo,168264,1,5400.0,330,3.0,95040.0,1051.65,121.0,50899.86,17352.225000000002,163292.09,97.05
LOS-0135,Surulere,Victoria Island,Private Car,596815,0,8000.0,120,1.5,184000.0,3730.09375,44.0,65649.65,30773.2734375,280422.92,46.99
LOS-0136,Ikorodu,Ikeja,Danfo,210451,0,2400.0,240,3.0,63360.0,1315.31875,88.0,46299.22,21702.759374999998,131361.98,62.42
LOS-0137,Egbeda,Ikeja,Private Car,823160,0,6000.0,240,3.0,138000.0,5144.75,88.0,181095.2,84888.375,403983.58,49.08
LOS-0138,Surulere,Ikeja,Danfo,72336,1,2700.0,210,1.5,47520.0,452.1,77.0,13924.68,3729.8250000000003,65174.5,90.1
LOS-0139,Surulere,Ikeja,Private Car,232581,0,4800.0,120,1.5,110400.0,1453.63125,44.0,25583.91,11992.457812499999,147976.37,63.62
LOS-0140,Egbeda,Victoria Island,Private Car,607355,0,14000.0,240,3.0,322000.0,3795.96875,88.0,133618.1,62633.484375,518251.58,85.33
LOS-0141,Ikorodu,Ikeja,Private Car,261393,0,9600.0,240,3.0,220800.0,1633.70625,88.0,57506.46,26956.153125,305262.61,116.78
LOS-0142,Surulere,Victoria Island,Private Car,783776,0,8000.0,120,1.5,184000.0,4898.6,44.0,86215.36,40413.450000000004,310628.81,39.63
LOS-0143,Surulere,Ikeja,BRT,87255,0,1140.0,120,1.5,25080.0,545.34375,44.0,9598.05,4499.0859375,39177.14,44.9
LOS-0144,Ikorodu,Ikeja,BRT,786770,0,1500.0,240,3.0,33000.0,4917.3125,88.0,173089.4,81135.65625,287225.06,36.51
LOS-0145,Ikorodu,Ikeja,Private Car,576238,0,9600.0,240,3.0,220800.0,3601.4875,88.0,126772.36,59424.543750000004,406996.9,70.63
LOS-0146,Egbeda,Ikeja,Private Car,491514,1,7800.0,330,3.0,138000.0,3071.9625,121.0,148682.99,50687.38125,337370.37,68.64
LOS-0147,Egbeda,Ikeja,BRT,314407,1,900.0,330,3.0,19800.0,1965.04375,121.0,95108.12,32423.221875,147331.34,46.86
LOS-0148,Egbeda,Ikeja,Private Car,789850,0,6000.0,240,3.0,138000.0,4936.5625,88.0,173767.0,81453.28125,393220.28,49.78
LOS-0149,Surulere,Victoria Island,Private Car,625642,0,8000.0,120,1.5,184000.0,3910.2625,44.0,68820.62,32259.665624999998,285080.29,45.57
LOS-0150,Egbeda,Ikeja,BRT,600808,0,900.0,240,3.0,19800.0,3755.05,88.0,132177.76,61958.325000000004,213936.09,35.61
LOS-0151,Ikorodu,Ikeja,BRT,246187,0,1500.0,240,3.0,33000.0,1538.66875,88.0,54161.14,25388.034375,112549.17,45.72
LOS-0152,Surulere,Ikeja,Private Car,817063,1,6240.0,210,1.5,110400.0,5106.64375,77.0,157284.63,42129.8109375,309814.44,37.92
LOS-0153,Egbeda,Ikeja,Danfo,81491,0,1600.0,240,3.0,42240.0,509.31875,88.0,17928.02,8403.759375,68571.78,84.15
LOS-0154,Egbeda,Victoria Island,Danfo,211053,0,3200.0,240,3.0,84480.0,1319.08125,88.0,46431.66,21764.840625,152676.5,72.34
LOS-0155,Egbeda,Victoria Island,Private Car,783184,0,14000.0,240,3.0,322000.0,4894.9,88.0,172300.48,80765.84999999999,575066.33,73.43
LOS-0156,Ikorodu,Victoria Island,Private Car,355138,1,20280.0,330,3.0,358800.0,2219.6125,121.0,107429.25,36623.606250000004,502852.85,141.59
LOS-0157,Surulere,Ikeja,Private Car,491971,0,4800.0,120,1.5,110400.0,3074.81875,44.0,54116.81,25367.2546875,189884.06,38.6
LOS-0158,Surulere,Victoria Island,Private Car,803534,0,8000.0,120,1.5,184000.0,5022.0875,44.0,88388.74,41432.221874999996,313820.96,39.06
LOS-0159,Egbeda,Victoria Island,Private Car,718828,0,14000.0,240,3.0,322000.0,4492.675,88.0,158142.16,74129.1375,554271.3,77.11
LOS-0160,Surulere,Ikeja,BRT,466403,0,1140.0,120,1.5,25080.0,2915.01875,44.0,51304.33,24048.904687500002,100433.23,21.53
LOS-0161,Surulere,Ikeja,BRT,234198,1,1140.0,210,1.5,25080.0,1463.7375,77.0,45083.12,12075.834375,82238.95,35.12
LOS-0162,Ikorodu,Victoria Island,Danfo,75168,0,3600.0,240,3.0,95040.0,469.8,88.0,16536.96,7751.7,119328.66,158.75
LOS-0163,Surulere,Ikeja,Private Car,463089,0,4800.0,120,1.5,110400.0,2894.30625,44.0,50939.79,23878.0265625,185217.82,40.0
LOS-0164,Surulere,Victoria Island,BRT,358819,0,1140.0,120,1.5,25080.0,2242.61875,44.0,39470.09,18501.6046875,83051.69,23.15
LOS-0165,Egbeda,Ikeja,Private Car,405117,0,6000.0,240,3.0,138000.0,2531.98125,88.0,89125.74,41777.690624999996,268903.43,66.38
LOS-0166,Ikorodu,Ikeja,Danfo,343485,0,2400.0,240,3.0,63360.0,2146.78125,88.0,75566.7,35421.890625,174348.59,50.76
LOS-0167,Ikorodu,Ikeja,Private Car,703971,0,9600.0,240,3.0,220800.0,4399.81875,88.0,154873.62,72597.00937500001,448270.63,63.68
LOS-0168,Surulere,Ikeja,BRT,677762,0,1140.0,120,1.5,25080.0,4236.0125,44.0,74553.82,34947.103125,134580.92,19.86
LOS-0169,Surulere,Victoria Island,BRT,285794,0,1140.0,120,1.5,25080.0,1786.2125,44.0,31437.34,14736.253125000001,71253.59,24.93
LOS-0170,Ikorodu,Victoria Island,Private Car,459569,0,15600.0,240,3.0,358800.0,2872.30625,88.0,101105.18,47393.053125,507298.23,110.39
LOS-0171,Surulere,Victoria Island,Danfo,81984,0,1800.0,120,1.5,47520.0,512.4,44.0,9018.24,4227.3,60765.54,74.12
LOS-0172,Surulere,Victoria Island,Private Car,698834,0,8000.0,120,1.5,184000.0,4367.7125,44.0,76871.74,36033.628124999996,296905.37,42.49
LOS-0173,Ikorodu,Victoria Island,Danfo,94475,1,5400.0,330,3.0,95040.0,590.46875,121.0,28578.69,9742.734375,133361.42,141.16
LOS-0174,Surulere,Victoria Island,Private Car,588574,0,8000.0,120,1.5,184000.0,3678.5875,44.0,64743.14,30348.346875,279091.49,47.42
LOS-0175,Surulere,Victoria Island,BRT,347211,0,1140.0,120,1.5,25080.0,2170.06875,44.0,38193.21,17903.0671875,81176.28,23.38
LOS-0176,Surulere,Victoria Island,Private Car,844725,1,10400.0,210,1.5,184000.0,5279.53125,77.0,162609.56,43556.1328125,390165.7,46.19
LOS-0177,Ikorodu,Ikeja,Danfo,213369,1,3600.0,330,3.0,63360.0,1333.55625,121.0,64544.12,22003.678125000002,149907.8,70.26
LOS-0178,Egbeda,Ikeja,Private Car,606181,0,6000.0,240,3.0,138000.0,3788.63125,88.0,133359.82,62512.415625,333872.24,55.08
LOS-0179,Egbeda,Ikeja,Danfo,88768,0,1600.0,240,3.0,42240.0,554.8,88.0,19528.96,9154.199999999999,70923.16,79.9
